Name,Position,Duration,Age,Away,Corridor,Date,FIN - Penetration + finishing,Half,Highlight,Home,In the halftime,NT,OPP,OUR,Penetration,Place,Result,Tournament,Type,P,Player/OFF,Player/OFF,NOR - Penetration + finishing,NOR - Set piece,SP,FIN - Set piece,Player/DEF,Player/DEF,Group Box,Koordinaatti 1
TV+,0:12:27.860,0:00:21.060,Men,FIN,Left,20.11.2022,FIN - Penetration + finishing,1,Highlight,NOR,In the halftime,A,NOR,FIN,1v1,Oslo,Shot over,Friendly,Transition,,,,,,,,,,,
Hidas hyökkäystilanne,0:31:44.880,0:00:53.800,Men,FIN,Left,20.11.2022,FIN - Penetration + finishing,1,Highlight,NOR,In the halftime,A,NOR,FIN,Key pass,Oslo,Goal,Friendly,Possession,SUOMI,O'Shaughnessy,Källman,,,,,,,,
TV-,0:34:17.540,0:00:34.800,Men,FIN,Right,20.11.2022,,1,Highlight,NOR,In the halftime,A,NOR,FIN,Penetrating Pass,Oslo,Shot over,Friendly,Transition,,,,NOR - Penetration + finishing,,,,,,,
Puolustuskulma,0:35:21.840,0:00:12.220,Men,FIN,,20.11.2022,,1,Highlight,NOR,,A,NOR,FIN,,Oslo,Blocked,Friendly,,,,,,NOR - Set piece,Corner,,,,,
Puolustuskulma,0:35:44.620,0:00:18.180,Men,FIN,,20.11.2022,,1,Highlight,NOR,,A,NOR,FIN,,Oslo,Saved,Friendly,,,,,,NOR - Set piece,Corner,,,,,
Vapari,0:39:03.040,0:00:08.160,Men,FIN,,20.11.2022,,1,Highlight,NOR,,A,NOR,FIN,,Oslo,Shot over,Friendly,,,,,,,Direct FK,FIN - Set piece,,,,
Hidas puolustustilanne,0:45:27.960,0:00:27.400,Men,FIN,Center,20.11.2022,,1,Highlight,NOR,,A,NOR,FIN,Shot from distance,Oslo,Saved,Friendly,Possession,,,,NOR - Penetration + finishing,,,,,,,
"Hidas puolustustilanne, MAALI 1-1",0:00:31.140,0:00:46.820,Men,FIN,Right,20.11.2022,,2,Highlight,NOR,,A,NOR,FIN,Key pass,Oslo,Goal,Friendly,Possession,SUOMI,,,NOR - Penetration + finishing,,,,O'Shaughnessy,Ivanov,,
Hyökkäyskulma,0:02:18.220,0:00:15.000,Men,FIN,,20.11.2022,,2,Highlight,NOR,,A,NOR,FIN,,Oslo,Saved,Friendly,,,,,,,Corner,FIN - Set piece,,,,
TV+,0:11:30.780,0:00:41.160,Men,FIN,Left,20.11.2022,FIN - Penetration + finishing,2,Highlight,NOR,,A,NOR,FIN,Penetrating Pass,Oslo,Saved,Friendly,Transition,,,,,,,,,,,
Hidas puolustustilanne,0:24:50.780,0:00:35.120,Men,FIN,Left,20.11.2022,,2,Highlight,NOR,,A,NOR,FIN,Cross,Oslo,Defence+,Friendly,Possession,,,,NOR - Penetration + finishing,,,,,,,
Hidas puolustustilanne,0:27:52.300,0:00:33.040,Men,FIN,Right,20.11.2022,,2,Highlight,NOR,,A,NOR,FIN,Shot from distance,Oslo,Shot over,Friendly,Possession,,,,NOR - Penetration + finishing,,,,,,,
Hidas puolustustilanne,0:36:58.260,0:00:35.320,Men,FIN,Right,20.11.2022,,2,Highlight,NOR,,A,NOR,FIN,Cross,Oslo,Saved,Friendly,Possession,,,,NOR - Penetration + finishing,,,,,,,
Puolustuskulma,0:38:54.480,0:00:11.300,Men,FIN,,20.11.2022,,2,Highlight,NOR,,A,NOR,FIN,,Oslo,Shot over,Friendly,,,,,,NOR - Set piece,Corner,,,,,
Hidas hyökkäystilanne,0:49:07.240,0:01:06.960,Men,FIN,Center,20.11.2022,FIN - Penetration + finishing,2,Highlight,NOR,,A,NOR,FIN,Penetrating Pass,Oslo,Blocked,Friendly,Possession,,,,,,,,,,,
Shot FIN (1),0:12:41.000,0:00:10.000,Men,FIN,,20.11.2022,,,,NOR,,A,NOR,FIN,,Oslo,Shot over,Friendly,,,,,,,,,,,Shot FIN,21;11
Shot FIN (2),0:32:21.060,0:00:10.000,Men,FIN,,20.11.2022,,,,NOR,,A,NOR,FIN,Key pass,Oslo,Goal,Friendly,,,,,,,,,,,Shot FIN,40;8
Shot OPP (1),0:34:26.960,0:00:10.000,Men,FIN,,20.11.2022,,,,NOR,,A,NOR,FIN,,Oslo,Blocked,Friendly,,,,,,,,,,,Shot OPP,43;10
Shot OPP (2),0:34:29.000,0:00:10.000,Men,FIN,,20.11.2022,,,,NOR,,A,NOR,FIN,,Oslo,Blocked,Friendly,,,,,,,,,,,Shot OPP,38;19
Shot OPP (3),0:34:32.420,0:00:10.000,Men,FIN,,20.11.2022,,,,NOR,,A,NOR,FIN,,Oslo,Blocked,Friendly,,,,,,,,,,,Shot OPP,40;18
Shot OPP (4),0:34:42.980,0:00:10.000,Men,FIN,,20.11.2022,,,,NOR,,A,NOR,FIN,,Oslo,Saved,Friendly,,,,,,,,,,,Shot OPP,45;22
Shot OPP (5),0:35:23.140,0:00:10.000,Men,FIN,,20.11.2022,,,,NOR,,A,NOR,FIN,,Oslo,Blocked,Friendly,,,,,,,,,,,Shot OPP,33;20
Shot OPP (6),0:35:48.940,0:00:10.000,Men,FIN,,20.11.2022,,,,NOR,,A,NOR,FIN,,Oslo,Shot over,Friendly,,,,,,,,,,,Shot OPP,50;10
Shot OPP (7),0:35:54.480,0:00:10.000,Men,FIN,,20.11.2022,,,,NOR,,A,NOR,FIN,,Oslo,Saved,Friendly,,,,,,,,,,,Shot OPP,18;11
Shot FIN (3),0:39:03.740,0:00:10.000,Men,FIN,,20.11.2022,,,,NOR,,A,NOR,FIN,,Oslo,Shot over,Friendly,,,,,,,,,,,Shot FIN,25;19
Shot OPP (8),0:45:42.920,0:00:10.000,Men,FIN,,20.11.2022,,,,NOR,,A,NOR,FIN,,Oslo,Saved,Friendly,,,,,,,,,,,Shot OPP,37;24
Shot OPP (9),0:01:07.380,0:00:10.000,Men,FIN,,20.11.2022,,,,NOR,,A,NOR,FIN,Key pass,Oslo,Goal,Friendly,,,,,,,,,,,Shot OPP,36;5
Shot FIN (4),0:02:23.640,0:00:10.000,Men,FIN,,20.11.2022,,,,NOR,,A,NOR,FIN,,Oslo,Saved,Friendly,,,,,,,,,,,Shot FIN,32;8
Shot FIN (5),0:11:52.960,0:00:10.000,Men,FIN,,20.11.2022,,,,NOR,,A,NOR,FIN,,Oslo,Saved,Friendly,,,,,,,,,,,Shot FIN,25;11
Shot OPP (10),0:28:15.000,0:00:10.000,Men,FIN,,20.11.2022,,,,NOR,,A,NOR,FIN,,Oslo,Shot over,Friendly,,,,,,,,,,,Shot OPP,49;24
Shot OPP (11),0:37:23.800,0:00:10.000,Men,FIN,,20.11.2022,,,,NOR,,A,NOR,FIN,,Oslo,Saved,Friendly,,,,,,,,,,,Shot OPP,29;12
Shot OPP (12),0:38:56.900,0:00:10.000,Men,FIN,,20.11.2022,,,,NOR,,A,NOR,FIN,,Oslo,Saved,Friendly,,,,,,,,,,,Shot OPP,42;8
Shot FIN (6),0:50:02.820,0:00:10.000,Men,FIN,,20.11.2022,,,,NOR,,A,NOR,FIN,,Oslo,Blocked,Friendly,,,,,,,,,,,Shot FIN,43;11
